category,date_time,headline,link
entertainment," July 19, 2020  9:58:02 pm",Kuljeet Singh on why ‘an ordinary sardar’ in Hindi cinema is a rare entity,https://indianexpress.com/article/entertainment/web-series/kuljeet-singh-hindi-cinema-breathe-into-the-shadows-6513737/
entertainment," July 19, 2020  8:38:18 pm",Sushant Singh Rajput’s sister Shweta Singh Kirti shares video of her ‘forever star’,https://indianexpress.com/article/entertainment/bollywood/sushant-singh-rajput-unseen-video-shweta-singh-kirti-6513677/
entertainment," July 19, 2020  7:46:41 pm","Sudeep is back on Phantom sets, shares sneak peek of film",https://indianexpress.com/article/entertainment/regional/phantom-kichcha-sudeep-video-6513597/
entertainment," July 19, 2020  6:01:15 pm",Portrait of a Lady on Fire: A potent romance that deserves more audience,https://indianexpress.com/article/entertainment/entertainment-others/portrait-of-a-lady-on-fire-amazon-prime-6503765/
entertainment," July 19, 2020  5:50:59 pm","Padavettu first look: Nivin Pauly’s film is all about ‘conflict, struggle and survival’",https://indianexpress.com/article/entertainment/malayalam/padavettu-first-look-nivin-pauly-6513526/
entertainment," July 19, 2020  5:33:46 pm","I am taking a break, says The Old Guard actor Charlize Theron",https://indianexpress.com/article/entertainment/hollywood/charlize-theron-taking-a-break-the-old-guard-6513468/
entertainment," July 19, 2020  4:35:00 pm",Anand Gandhi unveils poster of his upcoming film Emergence,https://indianexpress.com/article/entertainment/bollywood/anand-gandhi-unveils-poster-of-upcoming-film-emergence-6513422/
entertainment," July 19, 2020  4:13:26 pm",The Batman script is incredibly original: Colin Farrell,https://indianexpress.com/article/entertainment/hollywood/the-batman-script-is-incredibly-original-colin-farrell-6513419/
entertainment," July 19, 2020  3:45:42 pm",Don’t think I am a full-fledged writer yet: Varun Badola,https://indianexpress.com/article/entertainment/web-series/varun-badola-penned-dialogues-for-apharan-undekhi-6513294/
entertainment," July 19, 2020  5:25:46 pm","Shrenu Parikh discharged from hospital, says she is recovering well from coronavirus",https://indianexpress.com/article/entertainment/television/ishqbaaaz-actor-shrenu-parikh-discharged-from-hospital-coronavirus-positive-6513377/
entertainment," July 19, 2020  7:23:20 pm","Actor Pratik Gandhi, two family members test positive for coronavirus",https://indianexpress.com/article/entertainment/bollywood/actor-pratik-gandhi-two-family-members-test-positive-for-coronavirus-6513310/
entertainment," July 19, 2020  2:05:29 pm",Netflix sets release date for Tom Holland-starrer The Devil All the Time,https://indianexpress.com/article/entertainment/web-series/netflix-release-date-for-tom-holland-starrer-the-devil-all-the-time-september-16-6513269/
entertainment," July 19, 2020  1:29:03 pm","Fire breaks out on Kumkum Bhagya set, team escapes unhurt",https://indianexpress.com/article/entertainment/television/fire-breaks-out-on-kumkum-bhagya-set-6513125/
entertainment," July 19, 2020  12:56:32 pm",Rhea Chakraborty threat case: FIR against two Instagram users,https://indianexpress.com/article/entertainment/bollywood/rhea-chakraborty-threat-case-sushant-suicide-fir-against-two-instagram-users-6513147/
