category,date_time,headline,link
technology, 20 July 2020,"Realme 6i to Launch in India on July 24, Gets Listed on Flipkart",https://gadgets.ndtv.com/mobiles/news/realme-6i-india-launch-date-july-24-friday-flipkart-listing-price-specifications-availability-mediatek-helio-2265673
technology, 20 July 2020,"Redmi Note 9 With Quad Rear Cameras, Hole-Punch Display Launched in India: Price, Specifications",https://gadgets.ndtv.com/mobiles/news/redmi-note-9-price-in-india-rs-11999-launch-specifications-july-24-sale-date-release-xiaomi-2265657
technology, 20 July 2020,Oppo Reno 4 Pro to Launch in India on July 31 on Flipkart,https://gadgets.ndtv.com/mobiles/news/reno-4-pro-launch-date-india-july-31-price-specifications-expected-flipkart-2265652
technology, 20 July 2020,The Falcon and the Winter Soldier Won’t Release in August,https://gadgets.ndtv.com/entertainment/news/the-falcon-and-the-winter-soldier-release-date-delay-coronavirus-disney-plus-2265639
technology, 20 July 2020,Indian Smartphone Shipments Declined 48 Percent in Q2 2020 Compared to Last Year: Canalys,https://gadgets.ndtv.com/mobiles/news/indian-smartphone-shipments-drop-48-percent-q2-2020-canalys-samsung-vivo-oppo-realme-xiaomi-apple-2265632
technology, 20 July 2020,"Redmi Note 9 India Launch Today: How to Watch Live Stream, Expected Price, Specifications",https://gadgets.ndtv.com/mobiles/news/redmi-note-9-launch-today-live-stream-how-to-watch-expected-price-specifications-xiaomi-2265038
technology, 20 July 2020,"Realme Teases New Smartphone Series With Hole-Punch Display, 5G Connectivity",https://gadgets.ndtv.com/mobiles/news/realme-new-smartphone-series-5g-support-hole-punch-display-teaser-2265624
technology, 20 July 2020,"Google, Facebook, Twitter Directed by Delhi High Court to Take Down Posts Around IAS Officer",https://gadgets.ndtv.com/internet/news/google-facebook-twitter-directed-by-delhi-high-court-to-take-down-posts-around-ias-officer-2265593
technology, 20 July 2020,"Ryan Gosling, Chris Evans to Star in $200 Million Netflix Movie From Avengers: Endgame Directors",https://gadgets.ndtv.com/entertainment/news/netflix-gray-man-ryan-gosling-chris-evans-russo-brothers-avengers-endgame-200-million-2265592
technology, 20 July 2020,Samsung Galaxy Z Fold 2 Launch Confirmed for Galaxy Unpacked Event on August 5,https://gadgets.ndtv.com/mobiles/news/samsung-galaxy-z-fold-2-launch-date-august-5-confirmed-unpacked-event-specifications-2265589
technology, 20 July 2020,"Samsung Galaxy M31s With 64-Megapixel Main Camera, 6,000mAh Battery to Launch in India on July 30",https://gadgets.ndtv.com/mobiles/news/samsung-galaxy-m31s-48-megapixel-quad-cameras-6000mah-battery-india-launch-july-30-12-noon-amazon-2265576
technology, 20 July 2020,"OnePlus Nord to Ship With Google’s Duo, Messages, Phone Apps, Reveals Teaser",https://gadgets.ndtv.com/mobiles/news/oneplus-nord-google-duo-messages-phone-app-pre-installed-tough-build-2265584
technology, 20 July 2020,"OnePlus Buds to Come in Black, Blue, and White; First Look at Charging Case: Report",https://gadgets.ndtv.com/audio/news/oneplus-buds-nord-launch-colour-options-blue-black-white-charging-case-first-look-report-2265581
technology, 20 July 2020,Astrophysicists Unveil Biggest-Ever 3D Map of Universe,https://gadgets.ndtv.com/science/news/astrophysicists-unveil-biggest-ever-3d-map-of-universe-2265573
technology, 20 July 2020,UAE Launches 'Hope' Mars Probe From Japan Spaceport,https://gadgets.ndtv.com/science/news/uae-launches-hope-mars-probe-from-japan-spaceport-2265561
technology, 20 July 2020,"TikTok Said to Consider London, Other Locations for Headquarters",https://gadgets.ndtv.com/apps/news/tiktok-said-to-consider-london-other-locations-for-headquarters-2265548
technology, 20 July 2020,"Motorola One Fusion+ to Go on Sale via Flipkart Today at 12 Noon: Price in India, Specifications",https://gadgets.ndtv.com/mobiles/news/motorola-one-fusion-plus-sale-today-price-in-india-rs-17499-specifications-flipkart-2265052
technology, 19 July 2020,"Amazon Apple Days Sale Is Live: Price Discount on iPhone 11, Other Products",https://gadgets.ndtv.com/mobiles/news/apple-days-sale-amazon-india-july-25-end-iphone-11-rs-5400-price-cut-more-2264950
technology, 19 July 2020,"Disney Cuts Ad Spending on Facebook, Instagram Amidst Growing Boycott: Report",https://gadgets.ndtv.com/social-networking/news/disney-facebook-ad-boycott-instagram-spending-cut-report-2265248
technology, 19 July 2020,Twitter Disables Trump Tweet Over Copyright Complaint,https://gadgets.ndtv.com/social-networking/news/twitter-donald-trump-retweet-copyright-complaint-2265244
technology, 18 July 2020,Government Issues Notice to Twitter After Recent Hack,https://gadgets.ndtv.com/social-networking/news/government-issues-notice-to-twitter-after-recent-hack-2265057
technology, 18 July 2020,Samsung Galaxy Note 20 Surfaces in 360-Degree Render Ahead of Launch,https://gadgets.ndtv.com/mobiles/news/samsung-galaxy-note-20-360-degree-render-triple-rear-cameras-hole-punch-2265008
technology, 18 July 2020,"Asteroid 2020 ND, 160 Metres in Diameter, to Fly Past Earth on July 24",https://gadgets.ndtv.com/science/news/asteroid-2020-nd-earth-july-24-2020-fly-past-planet-160-metres-2264993
technology, 18 July 2020,"Moto G9 Play Surfaces on Geekbench With Qualcomm SoC, 4GB RAM Tipped",https://gadgets.ndtv.com/mobiles/news/moto-g9-play-geekbench-listing-4gb-ram-android-10-tipped-2264917
technology, 18 July 2020,Redmi Note 9 India Variant May Come With a New 6GB RAM Model,https://gadgets.ndtv.com/mobiles/news/redmi-note-9-india-variant-6gb-ram-option-launch-date-july-20-report-2264895
technology, 18 July 2020,Twitter Attack Was Work of Young Hacker Pals: Report,https://gadgets.ndtv.com/social-networking/news/twitter-attack-was-work-of-young-hacker-pals-report-2264858
technology, 18 July 2020,Google Bans Ads on Coronavirus Conspiracy Theory Content,https://gadgets.ndtv.com/internet/news/google-bans-ads-on-coronavirus-conspiracy-theory-content-2264852
technology, 18 July 2020,Twitter Says Hackers Downloaded Data of 8 Accounts in Cyberattack This Week,https://gadgets.ndtv.com/social-networking/news/twitter-says-hackers-downloaded-data-of-8-accounts-in-cyberattack-this-week-2264835
technology, 17 July 2020,"Realme Teases ‘Big Announcement’ at IFA 2020, Realme X3 Pro May Debut",https://gadgets.ndtv.com/mobiles/news/realme-ifa-2020-big-announcement-teaser-x3-pro-iot-berlin-2264640
technology, 17 July 2020,PUBG Mobile Launches Running Challenge for Players to Contribute to COVID-19 Aid,https://gadgets.ndtv.com/games/news/pubg-mobile-covid-19-donation-in-game-event-direct-relief-july-28-2264634
technology, 17 July 2020,"New Android Malware Discovered That Can Steal Your Credentials, Credit Card Details",https://gadgets.ndtv.com/apps/news/blackrock-android-malware-banking-trojan-lokbot-user-credentials-credit-card-information-2264633
technology, 17 July 2020,"Russia Is Hacking Coronavirus Vaccine Trials, Say US, UK, and Canada",https://gadgets.ndtv.com/others/news/russia-hacking-coronavirus-vaccine-trials-apt29-cozy-bear-us-uk-canada-covid-19-2264630
technology, 17 July 2020,Samsung Galaxy M51 Spotted on Bluetooth SIG With Model Number SM-M515F,https://gadgets.ndtv.com/mobiles/news/samsung-m51-galaxy-bluetooth-certification-site-spotted-sm-m515f-5-0-tipped-2264625
technology, 17 July 2020,"Instagram Launches New Shop Section in the US, Powered by Facebook Pay",https://gadgets.ndtv.com/apps/news/instagram-shop-facebook-pay-us-launch-explore-menu-e-commerce-2264603
technology, 17 July 2020,Twitter Rolls Out New Messaging Interface That Allows Users to Easily Access DMs,https://gadgets.ndtv.com/social-networking/news/twitter-dm-interface-homepage-pop-up-window-web-2264602
technology, 17 July 2020,Nokia Licensee RichGo to Launch Two Essential Earphones and a Headphone,https://gadgets.ndtv.com/audio/news/nokia-richgo-three-essential-true-wireless-earphones-headphones-soon-specifications-2264598
technology, 17 July 2020,"Google Let blogspot.in Domain Expire, Now It’s Up for Sale",https://gadgets.ndtv.com/internet/news/google-blogspot-in-expire-june-on-sale-4-million-url-india-usd-5999-2264572
technology, 17 July 2020,"Asus ROG Phone 3 Alleged Renders Leaked, Design Tipped Ahead of July 22 Launch",https://gadgets.ndtv.com/mobiles/news/asus-rog-phone-3-renders-leaked-design-tipped-july-22-launch-report-2264563
technology, 17 July 2020,"Realme X2 With 8GB RAM, 256GB Storage to Go on Sale in India on July 21",https://gadgets.ndtv.com/mobiles/news/realme-x2-8gb-256gb-variant-sale-date-july-21-india-specifications-features-2264555
technology, 17 July 2020,"Samsung Galaxy M31s Reportedly Going on Sale in India Starting August 6, Leaked Render Tips Hole-Punch Display",https://gadgets.ndtv.com/mobiles/news/samsung-galaxy-m31s-india-sale-date-august-6-rumour-render-leak-hole-punch-quad-rear-cameras-2264539
technology, 17 July 2020,"OnePlus Nord Will Pack 48-Megapixel Main Camera, 12GB RAM; Other Specifications Revealed Ahead of July 21 Launch",https://gadgets.ndtv.com/mobiles/news/oneplus-nord-48-megapixel-camera-snapdragon-765g-12gb-ram-revealed-2264529
technology, 17 July 2020,Roshni Nadar Malhotra Succeeds Shiv Nadar as HCL Chairman,https://gadgets.ndtv.com/others/news/roshni-nadar-hcl-chairman-shiv-nadar-stepping-down-q1-profit-2935-crore-2264493
technology, 17 July 2020,"Xiaomi Mi Band 4C With Up to 14 Days Battery Life, 5ATM Water Resistance Launched",https://gadgets.ndtv.com/wearables/news/xiaomi-mi-band-4c-price-twd-495-launch-specifications-features-2264484
technology, 17 July 2020,"Skype for Windows, Mac, Linux Now Offers Predefined Backgrounds, Grid View for Up to 12 Participants",https://gadgets.ndtv.com/apps/news/skype-8-62-update-predefined-backgrounds-grid-view-windows-mac-android-iphone-update-2264480
technology," Bloomberg, 17 July 2020",Apple iPhone Supplier Joins Wave of Tech Investment in India,https://gadgets.ndtv.com/mobiles/news/iphone-supplier-pegatron-joins-wave-of-tech-investment-india-apple-2264472
technology, 17 July 2020,"World Emoji Day: Apple, Google Tease New Emojis Coming to Android and iOS",https://gadgets.ndtv.com/apps/news/apple-google-tease-new-emoji-coming-in-2020-android-11-ios-14-world-emoji-day-2264457
