,category,date_time,headline,link
0,india," July 19, 2020  10:31:56 pm","Another Punjab MLA tests positive, cases breach 10,000 mark",https://indianexpress.com/article/india/another-punjab-mla-tests-positive-cases-breach-10000-mark-6513788/
1,india," July 19, 2020  10:30:58 pm","UP’s COVID fight in bad state, CM evading accountability: Priyanka",https://indianexpress.com/article/india/ups-covid-fight-in-bad-state-cm-evading-accountability-priyanka-6513789/
2,india," July 19, 2020  10:28:47 pm",Video of pigs roaming inside govt hospital in Karnataka causes outrage,https://indianexpress.com/article/india/video-of-pigs-roaming-inside-govt-hospital-in-karnataka-causes-outrage-6513766/
3,india," July 19, 2020  10:18:19 pm","JD(U) holding ‘vulture rallies’ in Bihar, says Lalu Prasad; ruling party hits back",https://indianexpress.com/article/india/jdu-holding-vulture-rallies-in-bihar-says-lalu-prasad-ruling-party-hits-back-6513770/
4,india," July 19, 2020  10:08:02 pm",Soldier dies after stepping on landmine in Kargil sector along LoC,https://indianexpress.com/article/india/soldier-dies-after-stepping-on-landmine-in-kargil-sector-along-loc-6513765/
5,india," July 19, 2020  10:04:11 pm","If Akalis had acted against Dera chief, sacrilege incidents wouldn’t have happened: Jakhar",https://indianexpress.com/article/india/sunil-jakhar-punjab-congress-dera-chief-ram-rahim-akali-dal-sukhbir-badal-6513763/
6,india," July 19, 2020  9:53:39 pm",MP: Robbers blow up ATM with explosives; steal over Rs 22 lakh,https://indianexpress.com/article/india/mp-robbers-blow-up-atm-with-explosives-steal-over-rs-22-lakh-6513734/
7,india," July 19, 2020  9:46:40 pm","Unlock 2.0, Day 19: Demand for Kadaknath chicken surges in MP; good response to Corona Kavach insurance",https://indianexpress.com/article/india/unlock-2-0-day-19-coronavirus-covid-19-india-updates-delhi-maharashtra-madhya-pradesh-6513664/
8,india," July 19, 2020  9:55:52 pm","Gujarat: Retired airman, son develop mobile thrashing machine",https://indianexpress.com/article/india/retired-airman-son-develop-mobile-thrashing-machine-6513750/
9,india," July 19, 2020  9:09:26 pm",‘Some people think building temple will eradicate Covid’: Sharad Pawar on Ram temple Trust fixing date,https://indianexpress.com/article/india/ncp-chief-sharad-pawar-pm-narendra-modi-ram-temple-ayodhya-covid-19-pandemic-6513657/
10,india," July 19, 2020  8:44:36 pm",Bihar: Indian national injured after Nepal Police opens fire along border in Kishanganj,https://indianexpress.com/article/india/india-nepal-border-firing-bihar-kishanganj-6513676/
11,india," July 19, 2020  9:58:51 pm","CICU supports Mattewara industrial park proposal: ‘If we want India to be ‘atmanirbhar’, we need to increase industrial base’",https://indianexpress.com/article/india/citu-supports-mattewara-industrial-park-proposal-6513692/
12,india," July 19, 2020  7:29:56 pm",Man behind burning of tyres in front of temples in Tamil Nadu identified,https://indianexpress.com/article/india/man-behind-burning-of-tyres-in-front-of-temples-in-tamil-nadu-identified-6513609/
13,india," July 19, 2020  7:16:01 pm",Rajnath Singh personally conveyed appreciation to soldiers for displaying bravery in Galwan clash,https://indianexpress.com/article/india/rajnath-singh-personally-conveyed-appreciation-to-soldiers-for-displaying-bravery-in-galwan-clash-6513632/
14,india," July 19, 2020  8:49:13 pm","Caste balance intact, BJP appoints Dhankar as Haryana party chief",https://indianexpress.com/article/india/senior-leader-om-prakash-dhankar-appointed-haryana-bjp-president-6513633/
15,india," July 19, 2020  6:59:01 pm",Chhattisgarh: 25 villagers injured after Naxals beat them in Dantewada,https://indianexpress.com/article/india/chhattisgarh-25-villagers-injured-after-naxals-beat-them-in-dantewada-6513607/
16,india," July 19, 2020  8:24:35 pm",PM Modi now has 6 crore followers on Twitter,https://indianexpress.com/article/india/pm-modi-now-has-6-crore-followers-on-twitter-6513614/
17,india," July 19, 2020  6:21:20 pm","COVID-19: Sole breadwinner dead at 22, TN family says has got no aid",https://indianexpress.com/article/india/sole-breadwinner-dead-at-22-tn-family-says-has-got-no-aid-6513592/
18,india," July 19, 2020  6:01:34 pm","22 detained in gambling raid in Gujarat’s Gandhinagar, Rs 15 lakh recovered: Cops",https://indianexpress.com/article/india/22-detained-in-gambling-raid-in-gujarat-gandhinagar-rs-15-lakh-recovered-cops-6513581/
19,india," July 19, 2020  3:51:22 pm",Seven Indian pharma players race to develop COVID-19 vaccine,https://indianexpress.com/article/india/seven-indian-pharma-players-race-to-develop-covid-19-vaccine-6513425/
20,india," July 19, 2020  4:14:25 pm","Video: Rajasthan Congress MLAs play ‘antakshari’, sing ‘hum honge kamyaab’ amid political crisis",https://indianexpress.com/article/india/rajasthan-political-crisis-congress-mlas-antakshari-hotel-6513304/
21,india," July 19, 2020  1:49:45 pm",COVID-19: Ex-DU professor Saibaba moves bail plea in HC,https://indianexpress.com/article/india/covid-19-ex-du-professor-saibaba-moves-bail-plea-in-hc-6513268/
22,india," July 19, 2020  1:03:45 pm","MP: Transport commissioner transferred over ‘envelope’ video, probe ordered",https://indianexpress.com/article/india/madhya-pradesh-transport-commissioner-transferred-envelope-video-6513144/
23,india," July 19, 2020  7:26:09 pm","Coronavirus India Updates, July 19: 63 more containment zones in Bengal; Indore cases cross 6,000",https://indianexpress.com/article/india/coronavirus-india-updates-july-19-hyderabad-punjab-karnataka-6512925/
24,india," July 19, 2020  11:28:03 am","32 years after woman got pregnant after tubectomy, HC sets aside medical negligence charge against doctor",https://indianexpress.com/article/india/punjab-and-haryana-high-court-woman-pregnant-after-tubectomy-6513028/
25,india," July 19, 2020  11:21:29 am",Census 2021: Two Ravidassia factions want recognition as different religions,https://indianexpress.com/article/india/census-2021-two-ravidassia-factions-want-recognition-as-different-religions-6513000/
26,india," July 19, 2020  10:54:20 am",Special to Express: Legality of FIR under Section 188 IPC,https://indianexpress.com/article/india/legality-of-fir-under-section-188-ipc-6512963/
27,india," July 19, 2020  9:42:50 am",Varavara Rao shifted to Nanavati for neurological treatment,https://indianexpress.com/article/india/varavara-rao-covid-19-nanavati-hospital-6512891/
28,india," July 19, 2020  10:38:06 pm","Rajasthan Government Crisis LIVE updates: Only floor test can decide if govt has majority or not, says Kataria",https://indianexpress.com/article/india/rajasthan-government-crisis-live-updates-congress-bjp-mlas-audio-tapes-ashok-gehlot-sachin-pilot-6512874/
29,india," July 19, 2020  5:35:15 am",Varanasi man attacked was paid to be part of ‘anti-Nepal’ video: Police,https://indianexpress.com/article/india/varanasi-man-attacked-was-paid-to-be-part-of-anti-nepal-video-police-6512766/
30,india," July 19, 2020  5:24:25 am","UP: Infection count crosses 47,000; 40 pc of active cases in 6 districts",https://indianexpress.com/article/india/up-infection-count-crosses-47000-40-pc-of-active-cases-in-6-districts-6512760/
31,india," July 19, 2020  5:12:47 am","Covid-19 in North Bengal: More beds, testing crux of govt plan in six hotspot districts",https://indianexpress.com/article/india/covid-19-in-north-bengal-more-beds-testing-crux-of-govt-plan-in-six-hotspot-districts-6512750/
32,india," July 19, 2020  5:04:58 am","Ensure aid to Amphan, Covid victims: Abhishek Banerjee at virtual rally",https://indianexpress.com/article/india/ensure-aid-to-amphan-covid-victims-abhishek-banerjee-at-virtual-rally-6512735/
33,india," July 19, 2020  12:13:17 pm",Veerappan’s daughter is now BJP youth wing leader: ‘Believe in humanity’,https://indianexpress.com/article/india/veerappan-daughter-bjp-youth-wing-leader-6512656/
34,india," July 19, 2020  4:58:00 am","As July 21 rally goes online, many in TMC wary of losing people’s pulse in year before elections",https://indianexpress.com/article/india/as-july-21-rally-goes-online-many-in-tmc-wary-of-losing-peoples-pulse-in-year-before-elections-6512729/
35,india," July 19, 2020  4:54:21 am","‘A life in mathematics, music, institution building, humanism’",https://indianexpress.com/article/india/c-s-seshadri-dies-mathematician-carnatic-music-6512655/
