category,date_time,headline,link
entertainment,,,
entertainment," June 8, 2020  3:30:35 pm",The best of Lockdown With The Johars,https://indianexpress.com/article/entertainment/bollywood/karan-johar-yash-roohi-lockdown-with-the-johars-videos-6448438/
entertainment," June 8, 2020  3:18:36 pm",Mohena Kumari Singh on fighting coronavirus: It’s mentally very disturbing,https://indianexpress.com/article/entertainment/television/mohena-kumari-singh-coronavirus-gaurav-wadhwa-battling-corona-6448505/
entertainment," June 8, 2020  2:55:59 pm",Anushka Sharma on Paatal Lok: This show proves that content is everything,https://indianexpress.com/article/entertainment/web-series/anushka-sharma-on-paatal-lok-amazon-prime-bollywood-actor-6448639/
entertainment," June 8, 2020  2:37:25 pm",Akshay Kumar-starrer Good Newwz to re-release in Dubai,https://indianexpress.com/article/entertainment/bollywood/akshay-kareena-good-newwz-to-re-release-in-dubai-6448546/
entertainment," June 8, 2020  1:28:56 pm",MasterChef Australia Back to Win: Callum makes it to top 10,https://indianexpress.com/article/entertainment/television/masterchef-australia-week-8-review-callum-top-10-6447225/
entertainment," June 8, 2020  12:47:40 pm",Penguin teaser: Keerthy Suresh promises a gripping affair,https://indianexpress.com/article/entertainment/tamil/penguin-teaser-keerthy-suresh-6448381/
entertainment," June 8, 2020  3:34:48 pm",Gulabo Sitabo news on June 8: Makers call plagiarism allegation attempt to damage the film and more,https://indianexpress.com/article/entertainment/bollywood/gulabo-sitabo-news-on-june-8-juhi-chaturvedi-plagiarism-allegations-6448265/
entertainment," June 8, 2020  11:58:42 am",Celebrities on TikTok: Birthday girl Shilpa Shetty is a true-blue entertainer,https://indianexpress.com/article/entertainment/bollywood/shilpa-shetty-kundra-tiktok-videos-6448258/
entertainment," June 8, 2020  2:53:15 pm",Sonu Sood news on June 8: Anurag Kashyap heaps praise on Bollywood actor,https://indianexpress.com/article/entertainment/bollywood/sonu-sood-news-on-june-8-6448068/
entertainment," June 8, 2020  2:24:43 pm",Iconic Satyajit Ray film Pather Panchali gets a controversial touch of colour,https://indianexpress.com/article/entertainment/regional/iconic-satyajit-ray-film-pather-panchali-gets-a-controversial-touch-of-colour-6448130/
entertainment," June 8, 2020  3:10:28 pm",South Cinema news on June 8: Teaser of Keerthy Suresh-starrer Penguin is out,https://indianexpress.com/article/entertainment/tamil/south-cinema-news-on-june-8-shriya-saran-in-rrr-and-more-6448129/
entertainment," June 8, 2020  8:14:06 am","Dear Class of 2020: The Obamas, Beyoncé, Lady Gaga and others offer inspirational messages to students",https://indianexpress.com/article/entertainment/entertainment-others/dear-class-of-2020-the-obamas-lady-gaga-beyonce-speeches-6448039/
entertainment," June 8, 2020  2:43:59 pm",Ronnie Lahiri on Sardar Udham Singh: Don’t think a January release is possible,https://indianexpress.com/article/entertainment/bollywood/producer-ronnie-lahiri-on-sardar-udham-singh-gulabo-sitabo-ott-release-6447299/
entertainment," June 8, 2020  12:01:36 pm",10 Bollywood dramas to watch in your lifetime,https://indianexpress.com/article/entertainment/opinion-entertainment/bollywood-dramas-6433234/
entertainment," June 8, 2020  12:05:52 am",Javed Akhtar on Richard Dawkins Award: It tells the world there are people in India who express views that aren’t popular,https://indianexpress.com/article/entertainment/bollywood/javed-akhtar-on-richard-dawkins-award-views-6447534/
entertainment," June 8, 2020  8:23:49 am",Sonu Sood: Journey with my migrant brothers and sisters has been the most special one,https://indianexpress.com/article/entertainment/bollywood/sonu-sood-stranded-migrant-workers-help-shiv-sena-6447539/
entertainment," June 7, 2020  10:29:43 pm","Chirranjeevi Sarja (1980-2020): Rashmika, Prithviraj and others mourn demise of Kannada actor",https://indianexpress.com/article/entertainment/regional/chirranjeevi-sarja-celebrities-mourn-demise-6447383/
entertainment," June 8, 2020  8:28:47 am",Karan Johar raises awareness about child abuse: Have to do everything to protect children,https://indianexpress.com/article/entertainment/bollywood/karan-johar-raises-awareness-about-child-abuse-have-to-do-everything-to-protect-children-6447307/
entertainment," June 8, 2020  8:28:35 am",Javed Akhtar wins Richard Dawkins Award,https://indianexpress.com/article/entertainment/bollywood/javed-akhtar-wins-richard-dawkins-award-6447261/
entertainment," June 7, 2020  8:11:34 pm",Chirranjeevi Sarja passes away at 39,https://indianexpress.com/article/entertainment/regional/chirranjeevi-sarja-passes-away-6447265/
entertainment," June 8, 2020  8:27:57 am",Gulabo Sitabo’s producers on plagiarism allegation: Deliberate attempt to malign Juhi Chaturvedi and damage film,https://indianexpress.com/article/entertainment/bollywood/gulabo-sitabo-producers-plagiarism-allegation-deliberate-attempt-to-malign-juhi-chaturvedi-6447208/
entertainment," June 7, 2020  3:46:08 pm",Michael B Jordan calls on Hollywood to ‘commit to black hiring’,https://indianexpress.com/article/entertainment/hollywood/michael-b-jordan-calls-on-hollywood-to-commit-to-black-hiring-6447194/
entertainment," June 7, 2020  3:28:57 pm",Andy Serkis was asked not to play Gollum in The Lord of the Rings,https://indianexpress.com/article/entertainment/hollywood/andy-serkis-was-asked-not-to-play-gollum-in-the-lord-of-the-rings-6447151/
entertainment," June 8, 2020  9:02:37 am",Sardar Uddham Singh post-production work to begin from June 8,https://indianexpress.com/article/entertainment/bollywood/shoojit-sircar-film-sardar-uddham-singh-post-production-6447051/
entertainment," June 7, 2020  2:09:27 pm","Fantastic Four producers refused to cast black Sue Storm, says Josh Trank",https://indianexpress.com/article/entertainment/hollywood/fantastic-four-producers-refused-to-cast-black-sue-storm-says-josh-trank-6447046/
entertainment," June 8, 2020  8:24:47 am","Kangana Ranaut turns director for Aparajitha Ayodhya, says it is a story of divinity",https://indianexpress.com/article/entertainment/bollywood/kangana-ranaut-turns-director-for-aparajitha-ayodhya-6446972/
