category,date_time,headline,link
india," June 8, 2020  3:18:02 pm","MP: Patient allegedly tied for non-payment of dues, Shajapur hospital sealed",https://indianexpress.com/article/india/mp-patient-allegedly-tied-for-non-payment-of-dues-shajapur-hospital-sealed-6448659/
india," June 8, 2020  3:22:05 pm","Unlike Congress, Modi govt not looting under MNREGA: BJP to Sonia Gandhi",https://indianexpress.com/article/india/sonia-gandhi-mnrega-narendra-modi-bjp-shahnawaz-hussain-6448592/
india," June 8, 2020  2:44:16 pm","SC seeks reply of Centre, J-K on plea of Congress leader Soz’s wife against his house detention",https://indianexpress.com/article/india/saifuddin-soz-house-arrest-detention-supreme-court-jammu-and-kashmir-admin-centre-6448629/
india," June 8, 2020  2:43:30 pm",Kerala elephant may have accidentally consumed explosive-stuffed fruit: Environment Ministry,https://indianexpress.com/article/india/kerala-elephant-death-environment-ministry-6448553/
india," June 8, 2020  2:22:52 pm",Gairsain is Uttarakhand’s summer capital,https://indianexpress.com/article/india/gairsain-declared-as-uttarakhands-summer-capital-6448581/
india," June 8, 2020  12:44:35 pm",Unlock 1.0 top developments: Yogi offers prayers at Gorakhnath; traffic snarls make a comeback,https://indianexpress.com/article/india/india-unlock-1-0-temples-churches-mosques-shopping-malls-restaurants-open-6448326/
india," June 8, 2020  12:25:11 pm",Irani debunks claims of lockdown leading to increase in domestic violence,https://indianexpress.com/article/india/irani-debunks-claims-of-lockdown-leading-to-increase-in-domestic-violence-6448394/
india," June 8, 2020  11:06:53 am","Trainer aircraft crashes in Odisha, 2 killed",https://indianexpress.com/article/india/trainer-aircraft-crashes-in-odisha-2-killed-6448250/
india," June 8, 2020  2:47:15 pm",Weather Forecast Today LIVE Updates: World Meteorological Organisation praises IMD for its accurate prediction of Cyclone Amphan,https://indianexpress.com/article/india/weather-forecast-today-live-updates-cyclonic-circulation-over-bay-of-bengal-to-form-a-low-pressure-area-in-the-next-48-hrs-6448097/
india," June 8, 2020  11:03:16 am","Uttarkhand unlock 1.0: Hotel bookings for minimum 7 days, guests cannot visit tourist spots",https://indianexpress.com/article/india/tourists-to-book-hotel-for-minimum-7-days-will-stay-in-hotel-only-6448107/
india," June 8, 2020  9:53:14 am",J-K: Four Hizbul militants killed in Shopian encounter; 9 in last 24 hours,https://indianexpress.com/article/india/shopain-encounter-jammu-kashmir-live-updates-6448029/
india," June 8, 2020  5:57:21 am","Mumbai offices to reopen today, with curbs",https://indianexpress.com/article/india/coronavirus-mumbai-offices-to-reopen-today-with-curbs-6447986/
