,0
0,0
1,0
2,3
3,1
4,0
5,0
6,5
7,0
8,4
9,3
10,3
11,0
12,0
13,0
14,6
15,2
16,4
17,1
18,2
19,0
20,3
21,2
22,0
23,0
24,6
25,0
26,2
27,0
28,6
29,0
30,0
31,4
32,0
33,0
34,0
35,2
36,0
37,1
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,5
47,0
48,2
49,0
50,0
51,2
52,1
53,5
54,0
55,0
56,0
57,1
58,0
59,0
60,2
61,0
62,0
63,0
64,2
65,3
66,0
67,1
68,0
69,0
70,0
71,0
72,6
73,3
74,0
75,0
76,0
77,2
78,6
79,0
80,0
81,0
82,5
83,2
84,0
85,0
86,0
87,6
88,0
89,4
90,0
91,0
92,0
93,0
94,0
95,3
96,1
97,0
98,0
99,4
100,1
101,0
102,3
103,0
104,1
105,0
106,0
107,5
108,0
109,0
110,0
111,0
112,0
113,1
114,0
115,0
116,1
117,4
118,0
119,4
120,0
121,3
122,0
123,0
124,1
125,0
126,0
127,0
128,0
129,0
130,6
131,0
132,2
133,0
134,4
135,6
136,0
137,0
138,4
139,2
140,0
141,1
142,0
143,0
144,6
145,0
146,0
147,0
148,1
149,0
150,0
151,1
152,6
153,4
154,6
155,0
156,0
157,2
158,0
159,2
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,2
172,0
173,0
174,0
175,6
176,0
177,1
178,0
179,0
180,0
181,2
182,5
183,1
184,0
185,0
186,4
187,6
188,2
189,1
190,2
191,5
192,0
193,6
194,0
195,0
196,0
197,0
198,2
199,1
200,0
201,6
202,6
203,2
204,0
205,1
206,2
207,0
208,0
209,5
210,0
211,1
212,0
213,0
214,1
215,5
216,0
217,0
218,3
219,0
220,0
221,0
222,0
223,4
224,2
225,0
226,3
227,3
228,5
229,0
230,1
231,2
232,0
233,0
234,1
235,2
236,0
237,0
238,0
239,0
240,0
241,2
242,0
243,0
244,0
245,6
246,1
247,0
248,0
249,0
250,0
251,3
252,0
253,0
254,1
255,0
256,3
257,0
258,0
259,0
260,0
261,3
262,2
263,0
264,0
265,0
266,2
267,0
268,1
269,0
270,4
271,0
272,0
273,0
274,0
275,0
276,6
277,0
278,0
279,0
280,0
281,3
282,0
283,2
284,0
285,0
286,0
287,0
288,3
289,0
290,6
291,0
292,6
293,0
294,5
295,0
296,0
297,2
298,0
299,6
300,2
301,5
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,6
311,0
312,0
313,2
314,6
315,0
316,0
317,0
318,0
319,4
320,0
321,5
322,0
323,0
324,4
325,0
326,6
327,6
328,5
329,3
330,0
331,1
332,0
333,1
334,0
335,0
336,0
337,1
338,5
339,0
340,0
341,2
342,5
343,4
344,0
345,2
346,0
347,5
348,0
349,0
350,0
351,4
352,5
353,0
354,0
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,5
365,0
366,4
367,0
368,1
369,1
370,0
371,0
372,0
373,0
374,2
375,0
376,0
377,5
378,5
379,0
380,1
381,0
382,1
383,0
384,4
385,2
386,0
387,6
388,1
389,0
390,0
391,0
392,1
393,2
394,0
395,0
396,0
397,0
398,0
399,1
400,0
401,0
402,0
403,0
404,2
405,4
406,2
407,0
408,0
409,0
410,0
411,6
412,0
413,3
414,1
415,0
416,0
417,0
418,0
419,1
420,2
421,0
422,1
423,0
424,0
425,0
426,0
427,0
428,0
429,1
430,4
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,4
441,1
442,0
443,2
444,0
445,0
446,3
447,3
448,0
449,5
450,6
451,4
452,0
453,0
454,2
455,3
456,4
457,0
458,0
459,0
460,0
461,2
462,0
463,0
464,1
465,0
466,4
467,0
468,1
469,0
470,1
471,0
472,0
473,0
474,4
475,0
476,5
477,3
478,0
479,0
480,0
481,0
482,0
483,0
484,2
485,0
486,0
487,4
488,5
489,1
490,6
491,4
492,0
493,0
494,2
495,6
496,0
497,0
498,4
499,6
500,1
501,5
502,0
503,0
504,6
505,0
506,0
507,0
508,1
509,0
510,1
511,6
512,3
513,0
514,1
515,4
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,1
524,0
525,0
526,0
527,0
528,6
529,6
530,0
531,2
532,1
