,category,date_time,headline,link
0,sports," June 6, 2020  9:27:21 am",Michael Jordan announces $100 million donation to fight for racial equality,https://indianexpress.com/article/sports/basketball/michael-jordan-announces-100-million-donation-to-fight-for-racial-equality-6445175/
1,entertainment," June 8, 2020  8:27:57 am",Gulabo Sitabo’s producers on plagiarism allegation: Deliberate attempt to malign Juhi Chaturvedi and damage film,https://indianexpress.com/article/entertainment/bollywood/gulabo-sitabo-producers-plagiarism-allegation-deliberate-attempt-to-malign-juhi-chaturvedi-6447208/
2,entertainment," June 2, 2020  5:10:00 pm","Streaming in June 2020: Gulabo Sitabo, Choked, Kehne Ko Humsafar Hain 3 and more",https://indianexpress.com/article/entertainment/web-series/gulabo-sitabo-kehne-ko-humsafar-hai-3-choked-streaming-in-june-6434149/
3,sports," June 5, 2020  8:22:16 am",On this day: Shane Warne bowled the ‘ball of century’ to stun and impress Mike Gatting,https://indianexpress.com/article/sports/cricket/shane-warne-ball-of-century-mike-gatting-ashes-1993-6441994/
4,india," June 6, 2020  9:16:50 am","Karnataka BJP abuzz with activity ahead of RS, MLC polls",https://indianexpress.com/article/india/karnataka-rajya-sabha-elections-bjp-congress-6445139/
5,sports," June 2, 2020  7:56:31 pm",‘Let’s create culture which has no place for prejudice’: Kumar Sangakkara on racism,https://indianexpress.com/article/sports/cricket/kumar-sangakkara-no-racism-prejudice-6439361/
6,technology, 8 June 2020,"Oppo A12 With Dual Rear Cameras, Waterdrop-Style Display Launched in India: Price, Specifications",https://gadgets.ndtv.com/mobiles/news/oppo-a12-price-in-india-rs-9990-launch-specifications-features-2242630
7,lifestyle," May 30, 2020  3:00:16 pm","Delhi govt releases video on home isolation process, precautions",https://indianexpress.com/article/lifestyle/health/delhi-govt-releases-video-on-home-isolation-process-precautions-6434224/
8,entertainment," May 31, 2020  1:58:26 pm",Mohit Suri is ready with the first draft of Malang 2’s script,https://indianexpress.com/article/entertainment/bollywood/mohit-suri-on-malang-2-script-6435512/
9,india," June 6, 2020  10:59:44 pm","Barring Gurgaon, Faridabad, malls, religious places to reopen in Haryana from June 8",https://indianexpress.com/article/india/barring-gurgaon-faridabad-malls-religious-places-to-reopen-from-june-8-6446312/
10,india," June 7, 2020  10:38:43 pm","India coronavirus updates, 07 June: Coronavirus situation under control but can’t allow violation of safety measures, says Punjab CM",https://indianexpress.com/article/india/india-coronavirus-updates-07-june-6447128/
11,technology, 1 June 2020,Google Rejects Call for Huge Australian Media Payout,https://gadgets.ndtv.com/internet/news/google-rejects-call-for-huge-australian-media-payout-2238876
12,technology, 8 June 2020,"iPhone 11 Pro, Pro Max Users Report Strange 'Green Tint' on Display",https://gadgets.ndtv.com/mobiles/news/iphone-11-pro-max-green-tint-issue-problem-ios-13-4-13-5-2242542
13,entertainment," June 1, 2020  6:27:01 pm",James Cameron arrives in New Zealand to restart Avatar 2 production,https://indianexpress.com/article/entertainment/hollywood/james-cameron-avatar-2-restart-production-photos-6437446/
14,entertainment," June 3, 2020  9:59:04 pm",Miya George gets engaged to Ashwin Philip,https://indianexpress.com/article/entertainment/malayalam/miya-george-gets-engaged-to-ashwin-philip-6440187/
15,lifestyle," May 27, 2020  10:30:52 pm",Try these DIY egg yolk hair masks to keep your hair healthy,https://indianexpress.com/article/lifestyle/life-style/egg-yolk-hair-masks-6427880/
16,sports," June 5, 2020  1:08:14 pm",Interesting to see how players deal with new ICC guidelines: Kumar Sangakkara,https://indianexpress.com/article/sports/cricket/interesting-to-see-how-players-deal-with-new-icc-guidelines-kumar-sangakkara-6443810/
17,india," June 7, 2020  8:05:12 am",Half of Covid deaths in last fortnight — but fatality rate still low,https://indianexpress.com/article/india/covid-deaths-fatality-rate-low-6446426/
18,lifestyle," June 3, 2020  8:44:23 pm",Beauty in lockdown: Three working moms on pampering their skin while multitasking,https://indianexpress.com/article/lifestyle/life-style/beauty-in-isolation-working-mothers-talk-about-pampering-their-skin-while-multitasking-6426522/
19,entertainment," May 31, 2020  12:44:41 pm",JK Simmons teases MCU future post Far From Home appearance,https://indianexpress.com/article/entertainment/hollywood/jk-simmons-teases-mcu-future-post-far-from-home-appearance-6435632/
20,entertainment," June 4, 2020  8:38:41 am",Akshay Kumar talks about resuming work post lockdown in new commercial,https://indianexpress.com/article/entertainment/bollywood/akshay-kumar-talks-about-resuming-work-post-lockdown-in-this-new-ad-video-6440337/
21,lifestyle," June 8, 2020  2:06:41 pm",Bored of regular omelette? Try these interesting egg recipes for breakfast today,https://indianexpress.com/article/lifestyle/food-wine/bored-regular-omelette-egg-recipes-sameera-reddy-cooking-lockdown-breakfast-6437039/
22,entertainment," June 7, 2020  8:25:03 am",Jon Favreau confirms The Mandalorian Season 2 premiere date,https://indianexpress.com/article/entertainment/web-series/jon-favreau-confirms-the-mandalorian-season-2-premiere-date-6445548/
23,technology, 3 June 2020,"Facebook, Saregama Sign Global Deal to Add Its Music to Stories, Posts, and Profiles",https://gadgets.ndtv.com/social-networking/news/saregama-facebook-instagram-music-deal-global-licensing-stories-stickers-posts-2239890
24,lifestyle," May 26, 2020  10:30:02 pm","Natural, homemade pesticides to get rid of ants in potted plants",https://indianexpress.com/article/lifestyle/life-style/homemade-pesticides-to-get-rid-of-ants-in-potted-plants-6427791/
